
Custo: 1998598 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 1998455 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.81
Custo: 1998323 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1998302 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1998146 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1998071 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1997749 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1997471 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1997252 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1997066 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1997043 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1997019 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1996581 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1996407 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1996269 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1996199 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1995987 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1995777 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1995610 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1995409 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1995368 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1994818 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1994707 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1994438 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1994358 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1994082 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993993 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993967 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993933 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993747 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993744 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993742 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993727 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993567 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993400 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993397 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993341 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993318 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993130 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1993098 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992982 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992829 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992806 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992713 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992682 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992484 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992448 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1992147 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1991978 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1991970 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1991814 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1991781 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1991580 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1991438 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1990702 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1990699 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1990290 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1990100 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1990007 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1989869 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1989819 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1989802 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.82
Custo: 1989801 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1989778 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1989533 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1989489 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1989273 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1989247 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988939 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988771 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988653 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988636 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988535 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988284 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988236 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988124 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1988097 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987907 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987720 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987686 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987592 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987421 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987286 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987103 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987101 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987085 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1987032 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986924 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986863 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986816 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986721 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986399 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986340 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986258 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1986231 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1985933 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1985578 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1985569 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1985297 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984967 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984889 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
